geo_description,label,year,description,estimate,moe,se,cv
Guilford ,HD01_VD13,2007,Estimate; Female: - High school graduate (includes equivalency),27593,2788.09,1422.49,5.16
United States,HD01_VD14,2007,"Estimate; Female: - Some college, no degree",14976925,66309.96,33831.61,0.23
North Carolina,HD01_VD14,2007,"Estimate; Female: - Some college, no degree",459005,13350.64,6811.55,1.48
Durham ,HD01_VD14,2007,"Estimate; Female: - Some college, no degree",5575,1338.04,682.67,12.25
Forsyth ,HD01_VD14,2007,"Estimate; Female: - Some college, no degree",15488,1881.36,959.88,6.2
Guilford ,HD01_VD14,2007,"Estimate; Female: - Some college, no degree",19769,2201.87,1123.4,5.68
United States,HD01_VD15,2007,Estimate; Female: - Associate's degree,6112474,46046.3,23493.01,0.38
North Carolina,HD01_VD15,2007,Estimate; Female: - Associate's degree,225921,7459.91,3806.08,1.68
Durham ,HD01_VD15,2007,Estimate; Female: - Associate's degree,3301,905.53,462.01,14
Forsyth ,HD01_VD15,2007,Estimate; Female: - Associate's degree,6710,1472.68,751.37,11.2
Guilford ,HD01_VD15,2007,Estimate; Female: - Associate's degree,8722,1584.68,808.51,9.27
United States,HD01_VD16,2007,Estimate; Female: - Bachelor's degree,13359457,60540.77,30888.15,0.23
North Carolina,HD01_VD16,2007,Estimate; Female: - Bachelor's degree,425156,10722.21,5470.52,1.29
Durham ,HD01_VD16,2007,Estimate; Female: - Bachelor's degree,13559,1696.68,865.65,6.38
Forsyth ,HD01_VD16,2007,Estimate; Female: - Bachelor's degree,20379,2073.19,1057.75,5.19
Guilford ,HD01_VD16,2007,Estimate; Female: - Bachelor's degree,24704,2230.47,1137.99,4.61
United States,HD01_VD17,2007,Estimate; Female: - Graduate degree,7608729,42660.09,21765.35,0.29
North Carolina,HD01_VD17,2007,Estimate; Female: - Graduate degree,207618,8366.64,4268.69,2.06
Durham ,HD01_VD17,2007,Estimate; Female: - Graduate degree,11292,1488.17,759.27,6.72
Forsyth ,HD01_VD17,2007,Estimate; Female: - Graduate degree,8303,1413.11,720.97,8.68
Guilford ,HD01_VD17,2007,Estimate; Female: - Graduate degree,12232,1720.51,877.81,7.18
United States,HD01_VD01,2008,Estimate; Total:,139289828,28085.79,14329.48,0.01
North Carolina,HD01_VD01,2008,Estimate; Total:,4328178,5754.89,2936.17,0.07
Durham ,HD01_VD01,2008,Estimate; Total:,82876,451.57,230.39,0.28
Forsyth ,HD01_VD01,2008,Estimate; Total:,149457,431.32,220.06,0.15
Guilford ,HD01_VD01,2008,Estimate; Total:,193864,251.4,128.27,0.07
United States,HD01_VD02,2008,Estimate; Male:,67081069,17772.26,9067.48,0.01
North Carolina,HD01_VD02,2008,Estimate; Male:,2061360,4043.91,2063.22,0.1
Durham ,HD01_VD02,2008,Estimate; Male:,38482,249.02,127.05,0.33
Forsyth ,HD01_VD02,2008,Estimate; Male:,70094,344.34,175.68,0.25
Guilford ,HD01_VD02,2008,Estimate; Male:,91499,170.38,86.93,0.1
United States,HD01_VD03,2008,Estimate; Male: - Less than 9th grade,2179194,28094.13,14333.74,0.66
North Carolina,HD01_VD03,2008,Estimate; Male: - Less than 9th grade,93130,6357.79,3243.77,3.48
Durham ,HD01_VD03,2008,Estimate; Male: - Less than 9th grade,675,393.19,200.61,29.72
Forsyth ,HD01_VD03,2008,Estimate; Male: - Less than 9th grade,2037,893.62,455.93,22.38
Guilford ,HD01_VD03,2008,Estimate; Male: - Less than 9th grade,3129,1202.21,613.37,19.6
United States,HD01_VD04,2008,"Estimate; Male: - 9th to 12th grade, no diploma",4698682,39962.55,20389.06,0.43
North Carolina,HD01_VD04,2008,"Estimate; Male: - 9th to 12th grade, no diploma",188959,9210.21,4699.09,2.49
Durham ,HD01_VD04,2008,"Estimate; Male: - 9th to 12th grade, no diploma",1305,568.34,289.97,22.22
Forsyth ,HD01_VD04,2008,"Estimate; Male: - 9th to 12th grade, no diploma",4601,1252.26,638.91,13.89
Guilford ,HD01_VD04,2008,"Estimate; Male: - 9th to 12th grade, no diploma",4300,1053.28,537.39,12.5
United States,HD01_VD05,2008,Estimate; Male: - Regular high school diploma,16249146,69575.83,35497.87,0.22
North Carolina,HD01_VD05,2008,Estimate; Male: - Regular high school diploma,458921,11945.87,6094.83,1.33
Durham ,HD01_VD05,2008,Estimate; Male: - Regular high school diploma,4738,1328.51,677.81,14.31
Forsyth ,HD01_VD05,2008,Estimate; Male: - Regular high school diploma,16032,2085.11,1063.83,6.64
Guilford ,HD01_VD05,2008,Estimate; Male: - Regular high school diploma,18039,2452.09,1251.07,6.94
United States,HD01_VD06,2008,Estimate; Male: - GED or alternative credential,3086002,30906.04,15768.39,0.51
North Carolina,HD01_VD06,2008,Estimate; Male: - GED or alternative credential,107444,7092.94,3618.85,3.37
Durham ,HD01_VD06,2008,Estimate; Male: - GED or alternative credential,1469,706.55,360.48,24.54
Forsyth ,HD01_VD06,2008,Estimate; Male: - GED or alternative credential,2683,853.11,435.26,16.22
Guilford ,HD01_VD06,2008,Estimate; Male: - GED or alternative credential,3657,992.51,506.38,13.85
United States,HD01_VD07,2008,"Estimate; Male: - Some college, no degree",14555492,57159.32,29162.92,0.2
North Carolina,HD01_VD07,2008,"Estimate; Male: - Some college, no degree",432566,11801.7,6021.28,1.39
Durham ,HD01_VD07,2008,"Estimate; Male: - Some college, no degree",4721,1179.57,601.82,12.75
Forsyth ,HD01_VD07,2008,"Estimate; Male: - Some college, no degree",13732,1918.3,978.72,7.13
Guilford ,HD01_VD07,2008,"Estimate; Male: - Some college, no degree",18908,2143.49,1093.62,5.78
United States,HD01_VD08,2008,Estimate; Male: - Associate's degree,4801958,38283.74,19532.52,0.41
North Carolina,HD01_VD08,2008,Estimate; Male: - Associate's degree,161649,7277.62,3713.07,2.3
Durham ,HD01_VD08,2008,Estimate; Male: - Associate's degree,3128,965.11,492.4,15.74
Forsyth ,HD01_VD08,2008,Estimate; Male: - Associate's degree,4588,1357.11,692.4,15.09
Guilford ,HD01_VD08,2008,Estimate; Male: - Associate's degree,5837,1174.81,599.39,10.27
United States,HD01_VD09,2008,Estimate; Male: - Bachelor's degree,13316248,69475.74,35446.81,0.27
North Carolina,HD01_VD09,2008,Estimate; Male: - Bachelor's degree,404457,9437.79,4815.2,1.19
Durham ,HD01_VD09,2008,Estimate; Male: - Bachelor's degree,10197,1725.28,880.24,8.63
Forsyth ,HD01_VD09,2008,Estimate; Male: - Bachelor's degree,16095,2098.21,1070.52,6.65
Guilford ,HD01_VD09,2008,Estimate; Male: - Bachelor's degree,26744,2293.62,1170.21,4.38
United States,HD01_VD10,2008,Estimate; Male: - Graduate degree,8194347,53183.32,27134.35,0.33
North Carolina,HD01_VD10,2008,Estimate; Male: - Graduate degree,214234,7825.7,3992.7,1.86
Durham ,HD01_VD10,2008,Estimate; Male: - Graduate degree,12249,1936.17,987.84,8.06
Forsyth ,HD01_VD10,2008,Estimate; Male: - Graduate degree,10326,1478.64,754.41,7.31
Guilford ,HD01_VD10,2008,Estimate; Male: - Graduate degree,10885,1749.11,892.4,8.2
United States,HD01_VD11,2008,Estimate; Female:,72208759,17120.51,8734.95,0.01
North Carolina,HD01_VD11,2008,Estimate; Female:,2266818,3492.26,1781.77,0.08
Durham ,HD01_VD11,2008,Estimate; Female:,44394,218.04,111.24,0.25
Forsyth ,HD01_VD11,2008,Estimate; Female:,79363,431.32,220.06,0.28
Guilford ,HD01_VD11,2008,Estimate; Female:,102365,176.34,89.97,0.09
United States,HD01_VD12,2008,Estimate; Female: - Less than 9th grade,2260547,28870.98,14730.09,0.65
North Carolina,HD01_VD12,2008,Estimate; Female: - Less than 9th grade,84727,5875.23,2997.57,3.54
Durham ,HD01_VD12,2008,Estimate; Female: - Less than 9th grade,153,208.51,106.38,69.53
Forsyth ,HD01_VD12,2008,Estimate; Female: - Less than 9th grade,1712,544.51,277.81,16.23
Guilford ,HD01_VD12,2008,Estimate; Female: - Less than 9th grade,3128,891.23,454.71,14.54
United States,HD01_VD13,2008,"Estimate; Female: - 9th to 12th grade, no diploma",4694759,45925.96,23431.61,0.5
North Carolina,HD01_VD13,2008,"Estimate; Female: - 9th to 12th grade, no diploma",179080,7867.4,4013.98,2.24
Durham ,HD01_VD13,2008,"Estimate; Female: - 9th to 12th grade, no diploma",1802,712.51,363.53,20.17
Forsyth ,HD01_VD13,2008,"Estimate; Female: - 9th to 12th grade, no diploma",4719,1299.91,663.22,14.05
Guilford ,HD01_VD13,2008,"Estimate; Female: - 9th to 12th grade, no diploma",7023,1585.87,809.12,11.52
United States,HD01_VD14,2008,Estimate; Female: - Regular high school diploma,19061127,62554.38,31915.5,0.17
North Carolina,HD01_VD14,2008,Estimate; Female: - Regular high school diploma,521733,10750.81,5485.11,1.05
Durham ,HD01_VD14,2008,Estimate; Female: - Regular high school diploma,5507,1059.23,540.42,9.81
Forsyth ,HD01_VD14,2008,Estimate; Female: - Regular high school diploma,18781,2080.34,1061.4,5.65
