geo_description,label,year,description,estimate,moe,se,cv
Forsyth ,HD01_VD29,2006,"Estimate; Female: - Some college, less than 1 year",7874,1517.96,774.47,9.84
Guilford ,HD01_VD29,2006,"Estimate; Female: - Some college, less than 1 year",9412,1514.38,772.64,8.21
United States,HD01_VD30,2006,"Estimate; Female: - Some college, 1 or more years, no degree",13741492,59333.79,30272.34,0.22
North Carolina,HD01_VD30,2006,"Estimate; Female: - Some college, 1 or more years, no degree",422728,13836.77,7059.58,1.67
Durham ,HD01_VD30,2006,"Estimate; Female: - Some college, 1 or more years, no degree",10455,1937.36,988.45,9.45
Forsyth ,HD01_VD30,2006,"Estimate; Female: - Some college, 1 or more years, no degree",17733,2483.06,1266.87,7.14
Guilford ,HD01_VD30,2006,"Estimate; Female: - Some college, 1 or more years, no degree",22174,2651.06,1352.58,6.1
United States,HD01_VD31,2006,Estimate; Female: - Associate's degree,8149828,56210.89,28679.03,0.35
North Carolina,HD01_VD31,2006,Estimate; Female: - Associate's degree,277745,9566.47,4880.85,1.76
Durham ,HD01_VD31,2006,Estimate; Female: - Associate's degree,6875,1718.13,876.6,12.75
Forsyth ,HD01_VD31,2006,Estimate; Female: - Associate's degree,9530,2027.91,1034.65,10.86
Guilford ,HD01_VD31,2006,Estimate; Female: - Associate's degree,11866,2189.96,1117.33,9.42
United States,HD01_VD32,2006,Estimate; Female: - Bachelor's degree,17194888,69897.53,35662.01,0.21
North Carolina,HD01_VD32,2006,Estimate; Female: - Bachelor's degree,514125,11581.28,5908.82,1.15
Durham ,HD01_VD32,2006,Estimate; Female: - Bachelor's degree,22275,2238.81,1142.25,5.13
Forsyth ,HD01_VD32,2006,Estimate; Female: - Bachelor's degree,23883,2491.4,1271.12,5.32
Guilford ,HD01_VD32,2006,Estimate; Female: - Bachelor's degree,34324,3140.77,1602.43,4.67
United States,HD01_VD33,2006,Estimate; Female: - Master's degree,7146858,49882.89,25450.45,0.36
North Carolina,HD01_VD33,2006,Estimate; Female: - Master's degree,178840,7473.02,3812.77,2.13
Durham ,HD01_VD33,2006,Estimate; Female: - Master's degree,8928,1650.21,841.94,9.43
Forsyth ,HD01_VD33,2006,Estimate; Female: - Master's degree,8080,1347.57,687.54,8.51
Guilford ,HD01_VD33,2006,Estimate; Female: - Master's degree,10565,1606.13,819.45,7.76
United States,HD01_VD34,2006,Estimate; Female: - Professional school degree,1483550,21363.4,10899.69,0.73
North Carolina,HD01_VD34,2006,Estimate; Female: - Professional school degree,33528,3059.74,1561.09,4.66
Durham ,HD01_VD34,2006,Estimate; Female: - Professional school degree,2507,1056.85,539.21,21.51
Forsyth ,HD01_VD34,2006,Estimate; Female: - Professional school degree,1504,573.11,292.4,19.44
Guilford ,HD01_VD34,2006,Estimate; Female: - Professional school degree,1532,626.72,319.76,20.87
United States,HD01_VD35,2006,Estimate; Female: - Doctorate degree,765817,14536.17,7416.41,0.97
North Carolina,HD01_VD35,2006,Estimate; Female: - Doctorate degree,23871,2284.09,1165.35,4.88
Durham ,HD01_VD35,2006,Estimate; Female: - Doctorate degree,3233,941.28,480.24,14.85
Forsyth ,HD01_VD35,2006,Estimate; Female: - Doctorate degree,1210,664.85,339.21,28.03
Guilford ,HD01_VD35,2006,Estimate; Female: - Doctorate degree,2013,847.15,432.22,21.47
United States,HD01_VD01,2007,Estimate; Total:,197892369,82308.09,41993.92,0.02
North Carolina,HD01_VD01,2007,Estimate; Total:,5959907,9536.68,4865.65,0.08
Durham ,HD01_VD01,2007,Estimate; Total:,165832,527.83,269.3,0.16
Forsyth ,HD01_VD01,2007,Estimate; Total:,223311,495.66,252.89,0.11
Guilford ,HD01_VD01,2007,Estimate; Total:,305027,371.74,189.66,0.06
United States,HD01_VD02,2007,Estimate; Male:,95390158,45056.17,22987.84,0.02
North Carolina,HD01_VD02,2007,Estimate; Male:,2829272,8259.4,4213.98,0.15
Durham ,HD01_VD02,2007,Estimate; Male:,78929,935.32,477.2,0.6
Forsyth ,HD01_VD02,2007,Estimate; Male:,104581,532.6,271.73,0.26
Guilford ,HD01_VD02,2007,Estimate; Male:,142961,643.4,328.27,0.23
United States,HD01_VD03,2007,Estimate; Male: - No schooling completed,848107,19638.13,10019.45,1.18
North Carolina,HD01_VD03,2007,Estimate; Male: - No schooling completed,20581,2841.7,1449.85,7.04
Durham ,HD01_VD03,2007,Estimate; Male: - No schooling completed,876,773.28,394.53,45.04
Forsyth ,HD01_VD03,2007,Estimate; Male: - No schooling completed,1270,798.3,407.3,32.07
Guilford ,HD01_VD03,2007,Estimate; Male: - No schooling completed,469,380.09,193.92,41.35
United States,HD01_VD04,2007,Estimate; Male: - Nursery to 4th grade,881624,22674.04,11568.39,1.31
North Carolina,HD01_VD04,2007,Estimate; Male: - Nursery to 4th grade,26080,3231.32,1648.63,6.32
Durham ,HD01_VD04,2007,Estimate; Male: - Nursery to 4th grade,150,285.96,145.9,97.27
