geo_description,label,year,description,estimate,moe,se,cv
United States,HD01_VD02,2007,Estimate; Male:,148639222,27005.11,13778.12,0.01
North Carolina,HD01_VD02,2007,Estimate; Male:,4425403,7921.02,4041.34,0.09
Durham ,HD01_VD02,2007,Estimate; Male:,125192,853.11,435.26,0.35
Forsyth ,HD01_VD02,2007,Estimate; Male:,162476,683.91,348.93,0.21
Guilford ,HD01_VD02,2007,Estimate; Male:,222381,997.28,508.82,0.23
United States,HD01_VD03,2007,Estimate; Male: - Under 5 years,10578358,20279.15,10346.51,0.1
North Carolina,HD01_VD03,2007,Estimate; Male: - Under 5 years,321825,4401.36,2245.59,0.7
Durham ,HD01_VD03,2007,Estimate; Male: - Under 5 years,10442,277.62,141.64,1.36
Forsyth ,HD01_VD03,2007,Estimate; Male: - Under 5 years,12500,250.21,127.66,1.02
Guilford ,HD01_VD03,2007,Estimate; Male: - Under 5 years,15659,257.36,131.31,0.84
United States,HD01_VD04,2007,Estimate; Male: - 5 to 9 years,10087957,43598.98,22244.38,0.22
North Carolina,HD01_VD04,2007,Estimate; Male: - 5 to 9 years,308981,6996.43,3569.61,1.16
Durham ,HD01_VD04,2007,Estimate; Male: - 5 to 9 years,8815,1284.43,655.32,7.43
Forsyth ,HD01_VD04,2007,Estimate; Male: - 5 to 9 years,12011,1764.6,900.31,7.5
Guilford ,HD01_VD04,2007,Estimate; Male: - 5 to 9 years,15059,1880.17,959.27,6.37
United States,HD01_VD05,2007,Estimate; Male: - 10 to 14 years,10513768,42319.32,21591.49,0.21
North Carolina,HD01_VD05,2007,Estimate; Male: - 10 to 14 years,308575,7788.77,3973.86,1.29
Durham ,HD01_VD05,2007,Estimate; Male: - 10 to 14 years,8012,1320.17,673.56,8.41
Forsyth ,HD01_VD05,2007,Estimate; Male: - 10 to 14 years,10949,1620.43,826.75,7.55
Guilford ,HD01_VD05,2007,Estimate; Male: - 10 to 14 years,16154,1863.49,950.76,5.89
United States,HD01_VD06,2007,Estimate; Male: - 15 to 17 years,6679175,16002.89,8164.74,0.12
North Carolina,HD01_VD06,2007,Estimate; Male: - 15 to 17 years,192117,3656.68,1865.65,0.97
Durham ,HD01_VD06,2007,Estimate; Male: - 15 to 17 years,4858,450.38,229.79,4.73
Forsyth ,HD01_VD06,2007,Estimate; Male: - 15 to 17 years,7024,291.91,148.93,2.12
Guilford ,HD01_VD06,2007,Estimate; Male: - 15 to 17 years,9271,555.23,283.28,3.06
United States,HD01_VD07,2007,Estimate; Male: - 18 and 19 years,4573863,26126.98,13330.09,0.29
North Carolina,HD01_VD07,2007,Estimate; Male: - 18 and 19 years,139942,5735.83,2926.44,2.09
Durham ,HD01_VD07,2007,Estimate; Male: - 18 and 19 years,4034,857.87,437.69,10.85
Forsyth ,HD01_VD07,2007,Estimate; Male: - 18 and 19 years,4851,458.72,234.04,4.82
Guilford ,HD01_VD07,2007,Estimate; Male: - 18 and 19 years,7019,346.72,176.9,2.52
United States,HD01_VD08,2007,Estimate; Male: - 20 years,2358876,35567.15,18146.51,0.77
North Carolina,HD01_VD08,2007,Estimate; Male: - 20 years,71590,4707.57,2401.82,3.35
