NAME,"Durham County, North Carolina","Forsyth County, North Carolina","Guilford County, North Carolina",North Carolina,United States
Pct_Assoc_p2599MA12_SE,0.018241737,0.015028964,0.012851522,0.002978366,0.000562782
Pct_Assoc_p2599FA12,0.559597,0.4093114,0.3986985,0.3792098,0.3786644
Pct_Assoc_p2599FA12_SE,0.021456947,0.013398427,0.011720351,0.002950012,0.000543113
Pop2599AW12,89041,152133,193079,4484315,140902167
Pop2599AW12_SE,62.61398,44.3769,627.35562,1682.06687,8738.60182
Assoc_p2599AW12,60803,70970,89185,1819723,57771121
Assoc_p2599AW12_SE,1681.314,1983.272,2339.108,11448.859,66865.599
Pct_Assoc_p2599AW12,0.6828652,0.4664997,0.4619094,0.4057973,0.4100087
Pct_Assoc_p2599AW12_SE,0.018888577,0.013037144,0.012207385,0.002557623,0.000475234
Pop2599AB12,64697,56718,99471,1315560,24280587
Pop2599AB12_SE,508.8146,279.6353,846.8085,3763.5258,16615.8055
Assoc_p2599AB12,24040,14552,30657,330373,6423551
Assoc_p2599AB12_SE,1507.954,1034.471,1616.1,5565.229,24402.637
Pct_Assoc_p2599AB12,0.3715783,0.2565676,0.3082004,0.2511273,0.264555
Pct_Assoc_p2599AB12_SE,0.023490428,0.01828266,0.016457442,0.004290882,0.001021203
Pop2599AH12,19636,20632,18417,418817,28910780
Pop2599AH12_SE,0,0,0,2275.38,13841.34
Assoc_p2599AH12,3176,2691,2382,63056,5662266
Assoc_p2599AH12_SE,542.3389,493.4137,473.3045,2487.6865,25546.4125
Pct_Assoc_p2599AH12,0.1617437,0.1304285,0.129337,0.1505574,0.1958531
Pct_Assoc_p2599AH12_SE,0.02761962,0.023914973,0.025699327,0.005995849,0.00088859
Pop2534AA12,50490,46200,67017,1252143,42100846
Pop2534AA12_SE,336.4295,347.6917,305.3784,3909.4234,16912.703
Pop3544AA12,39846,46925,67586,1330471,40698086
Pop3544AA12_SE,412.2984,362.7753,335.1926,3659.8991,16776.9054
Pop4564AA12,64739,94059,127968,2560569,82792089
Pop4564AA12_SE,540.2009,449.3656,407.8733,3947.894,19951.7653
Pop6599AA12,29877,49023,65504,1346700,43140477
Pop6599AA12_SE,391.8597,290.4179,312.4561,1727.796,8746.5872
Assoc_p2534AA12,29453,17808,28260,487881,17220947
Assoc_p2534AA12_SE,1523.273,1203.42,1456.169,6319.565,39815.754
Assoc_p3544AA12,19489,19435,28903,537347,16941912
Assoc_p3544AA12_SE,1243.079,1114.491,1527.377,6911.268,37379.36
Assoc_p4564AA12,34427,40677,50299,951878,31081000
Assoc_p4564AA12_SE,1457.319,1580.613,1717.881,8818.805,47813.08
Assoc_p6599AA12,12933,14882,21485,360801,12109773
Assoc_p6599AA12_SE,864.2295,843.002,1044.5839,4606.8581,27086.0875
Pct_Assoc_p2534AA12,0.5833432,0.3854545,0.4216841,0.3896368,0.4090404
Pct_Assoc_p2534AA12_SE,0.03041916,0.026209076,0.021813146,0.005191543,0.000959892
Pct_Assoc_p3544AA12,0.4891081,0.4141716,0.4276477,0.4038773,0.4162828
Pct_Assoc_p3544AA12_SE,0.031604914,0.023965349,0.022698324,0.005312082,0.000934349
Pct_Assoc_p4564AA12,0.5317815,0.4324626,0.3930592,0.3717447,0.3754103
Pct_Assoc_p4564AA12_SE,0.022943864,0.016931018,0.013482629,0.003491446,0.000584551
Pct_Assoc_p6599AA12,0.4328748,0.3035718,0.3279952,0.2679149,0.2807056
Pct_Assoc_p6599AA12_SE,0.029478154,0.017289834,0.016023437,0.003438075,0.000630432
