year,geo_description,subtype,quintile,perc,type,se
2014,"Forsyth County, NC",24,4,0.10078219013237064,agep,0.04046821029487855
2014,"Forsyth County, NC",44,1,0.19974476061337215,agep,0.028729960279274994
2014,"Forsyth County, NC",44,2,0.19226704420825938,agep,0.02589922049595527
2014,"Forsyth County, NC",44,3,0.23294582145207282,agep,0.028287935390898626
2014,"Forsyth County, NC",44,4,0.2323476041396638,agep,0.03143682041193821
2014,"Forsyth County, NC",44,5,0.14269476958663183,agep,0.01659557254577003
2014,"Forsyth County, NC",64,1,0.1709681480548911,agep,0.01949543489014694
2014,"Forsyth County, NC",64,2,0.1653207676120933,agep,0.015983227761743126
2014,"Forsyth County, NC",64,3,0.19147137641409326,agep,0.019309709535610096
2014,"Forsyth County, NC",64,4,0.19585978669448392,agep,0.018654298607749514
2014,"Forsyth County, NC",64,5,0.2763799212244384,agep,0.023436877275884983
2014,"Forsyth County, NC",150,1,0.2504216101068079,agep,0.021743460747077777
2014,"Forsyth County, NC",150,2,0.22861623124944525,agep,0.025103244245580365
2014,"Forsyth County, NC",150,3,0.20509482529068906,agep,0.017501213938511444
2014,"Forsyth County, NC",150,4,0.17124767004940974,agep,0.021657830767498682
2014,"Forsyth County, NC",150,5,0.14461966330364803,agep,0.019133395935179886
2015,"Forsyth County, NC",24,1,0.5455676516329705,agep,0.07779278072106374
2015,"Forsyth County, NC",24,2,0.1744945567651633,agep,0.06460037646367627
2015,"Forsyth County, NC",24,3,0.2228615863141524,agep,0.0565886510975431
2015,"Forsyth County, NC",24,4,0.026749611197511663,agep,0.016480609294145448
2015,"Forsyth County, NC",24,5,0.030326594090202177,agep,0.02558883891034432
2015,"Forsyth County, NC",44,1,0.17730768411410067,agep,0.025189547475224817
2015,"Forsyth County, NC",44,2,0.22042564069789736,agep,0.024979109981943456
2015,"Forsyth County, NC",44,3,0.19944185253829275,agep,0.021073057185986708
2015,"Forsyth County, NC",44,4,0.2363179310197908,agep,0.019767927198245955
2015,"Forsyth County, NC",44,5,0.1665068916299184,agep,0.019455868887083578
2015,"Forsyth County, NC",64,1,0.16881445602244902,agep,0.014905562614791548
2015,"Forsyth County, NC",64,2,0.1699226080895101,agep,0.021593994722394826
2015,"Forsyth County, NC",64,3,0.1878675222077249,agep,0.021145724774291136
2015,"Forsyth County, NC",64,4,0.22595578115784018,agep,0.023809421181946233
2015,"Forsyth County, NC",64,5,0.24743963252247583,agep,0.020221041120451307
2015,"Forsyth County, NC",150,1,0.2511407662505381,agep,0.021437435252589496
2015,"Forsyth County, NC",150,2,0.25395322140909743,agep,0.02342486197972176
2015,"Forsyth County, NC",150,3,0.20760510833692064,agep,0.022113610881187244
2015,"Forsyth County, NC",150,4,0.15755488592337494,agep,0.019788768345528333
2015,"Forsyth County, NC",150,5,0.1297460180800689,agep,0.01606801334995572
2016,"Forsyth County, NC",24,1,0.4467574059247398,agep,0.0848194483603487
2016,"Forsyth County, NC",24,2,0.24579663730984788,agep,0.07777890175206827
2016,"Forsyth County, NC",24,3,0.23298638911128902,agep,0.0788879843820305
2016,"Forsyth County, NC",24,4,0.048638911128903124,agep,0.020047249738919852
2016,"Forsyth County, NC",24,5,0.025820656525220177,agep,0.02559489598199947
2016,"Forsyth County, NC",44,1,0.2161641541038526,agep,0.02451671606112276
2016,"Forsyth County, NC",44,2,0.23986599664991626,agep,0.025892127377713882
2016,"Forsyth County, NC",44,3,0.2024497487437186,agep,0.025944799049405713
2016,"Forsyth County, NC",44,4,0.1807788944723618,agep,0.02085533610589574
2016,"Forsyth County, NC",44,5,0.16074120603015074,agep,0.01782647546125067
2016,"Forsyth County, NC",64,1,0.18498874679414484,agep,0.01911302329956685
2016,"Forsyth County, NC",64,2,0.15637594430971613,agep,0.016671436294640837
2016,"Forsyth County, NC",64,3,0.17759129054207304,agep,0.022488972135701595
2016,"Forsyth County, NC",64,4,0.20491302754854582,agep,0.019452999069656994
2016,"Forsyth County, NC",64,5,0.27613099080552017,agep,0.015401914161886666
2016,"Forsyth County, NC",150,1,0.2727348180937889,agep,0.025154922056322464
2016,"Forsyth County, NC",150,2,0.19917000968322035,agep,0.022721707403796868
