year,bracket,bucket,status,value,single_max,married_max,hoh_max,single_min,married_min,hoh_min,single_fulltax,married_fulltax,hoh_fulltax,single_fulltax_cum,married_fulltax_cum,hoh_fulltax_cum
2013,0.35,6,hoh_min,398350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0.4,7,hoh_min,425000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0.1,1,hoh_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0.15,2,hoh_min,12400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0.25,3,hoh_min,47350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0.28,4,hoh_min,122300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0.33,5,hoh_min,198050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0.35,6,hoh_min,388350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0.1,1,hoh_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0.15,2,hoh_min,12150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0.25,3,hoh_min,46250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0.28,4,hoh_min,119400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0.33,5,hoh_min,193350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0.35,6,hoh_min,379150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0.1,1,hoh_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0.15,2,hoh_min,11950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0.25,3,hoh_min,45550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0.28,4,hoh_min,117650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0.33,5,hoh_min,190550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0.35,6,hoh_min,373650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,0.1,1,hoh_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,0.15,2,hoh_min,11950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,0.25,3,hoh_min,45500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,0.28,4,hoh_min,117450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,0.33,5,hoh_min,190200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,0.35,6,hoh_min,372950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0.1,1,hoh_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0.15,2,hoh_min,11450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0.25,3,hoh_min,43650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0.28,4,hoh_min,112650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0.33,5,hoh_min,182400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0.35,6,hoh_min,357700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.1,1,hoh_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.15,2,hoh_min,11200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.25,3,hoh_min,42650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.28,4,hoh_min,110100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.33,5,hoh_min,178350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.35,6,hoh_min,349700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.1,1,hoh_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.15,2,hoh_min,10750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.25,3,hoh_min,41050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.28,4,hoh_min,10600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.33,5,hoh_min,171650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.35,6,hoh_min,336550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0.1,1,NA,NA,9325,18650,13350,0,0,0,932.5,1865,1335,0,0,0
2017,0.15,2,NA,NA,37950,75900,50800,9325,18650,13350,4293.75,8587.5,5617.5,932.5,1865,1335
2017,0.25,3,NA,NA,91900,153100,131200,37950,75900,50800,13487.5,19300,20100,5226.25,10452.5,6952.5
2017,0.28,4,NA,NA,191650,233350,212500,91900,153100,131200,27930,22470,22764,18713.75,29752.5,27052.5
2017,0.33,5,NA,NA,416700,416700,416700,191650,233350,212500,74266.5,60505.5,67386,46643.75,52222.5,49816.5
2017,0.35,6,NA,NA,418400,470700,444550,416700,416700,416700,595,18900,9747.5,120910.25,112728,117202.5
2017,0.4,7,NA,NA,9999999,9999999,9999999,418400,470700,444550,1e7,1e7,1e7,121505.25,131628,126950
2016,0.1,1,NA,NA,9275,18550,13250,0,0,0,927.5,1855,1325,0,0,0
2016,0.15,2,NA,NA,37650,75300,50400,9275,18550,13250,4256.25,8512.5,5572.5,927.5,1855,1325
2016,0.25,3,NA,NA,91150,151900,130150,37650,75300,50400,13375,19150,19937.5,5183.75,10367.5,6897.5
2016,0.28,4,NA,NA,190150,231450,210800,91150,151900,130150,27720,22274,22582,18558.75,29517.5,26835
2016,0.33,5,NA,NA,413350,413350,413350,190150,231450,210800,73656,60027,66841.5,46278.75,51791.5,49417
2016,0.35,6,NA,NA,415050,466950,441000,413350,413350,413350,595,18760,9677.5,119934.75,111818.5,116258.5
2016,0.4,7,NA,NA,9999999,9999999,9999999,415050,466950,441000,1e7,1e7,1e7,120529.75,130578.5,125936
2015,0.1,1,NA,NA,9225,18450,13150,0,0,0,922.5,1845,1315,0,0,0
2015,0.15,2,NA,NA,37450,74900,50200,9225,18450,13150,4233.75,8467.5,5557.5,922.5,1845,1315
2015,0.25,3,NA,NA,90750,151200,129600,37450,74900,50200,13325,19075,19850,5156.25,10312.5,6872.5
2015,0.28,4,NA,NA,189300,230450,209850,90750,151200,129600,27594,22190,22470,18481.25,29387.5,26722.5
2015,0.33,5,NA,NA,411500,411500,411500,189300,230450,209850,73326,59746.5,66544.5,46075.25,51577.5,49192.5
2015,0.35,6,NA,NA,413200,464850,439200,411500,411500,411500,595,18672.5,9695,119401.25,111324,115737
2015,0.4,7,NA,NA,9999999,9999999,9999999,413200,464850,439200,396e10,396e10,396e10,119996.25,129996.5,125432
2014,0.1,1,NA,NA,9075,18150,12950,0,0,0,907.5,1815,1295,0,0,0
2014,0.15,2,NA,NA,36900,73800,49400,9075,18150,12950,4173.75,8347.5,5467.5,907.5,1815,1295
2014,0.25,3,NA,NA,89350,148850,127550,36900,73800,49400,13112.5,18762.5,19537.5,5081.25,10162.5,6762.5
