measure,year,county,group,total,rate,passed,not_passed
8th Grade Math Score,2015-16,Durham,white,417,65.2,272,145
8th Grade Math Score,2015-16,Forsyth,ALL,4054,37.1,1504,2550
8th Grade Math Score,2015-16,Forsyth,black,1159,19.8,229,930
8th Grade Math Score,2015-16,Forsyth,eds,1874,19.1,358,1516
8th Grade Math Score,2015-16,Forsyth,female,2003,38.2,765,1238
8th Grade Math Score,2015-16,Forsyth,hispanic,975,20.4,199,776
8th Grade Math Score,2015-16,Forsyth,male,2051,36.1,740,1311
8th Grade Math Score,2015-16,Forsyth,not_eds,2180,52.7,1149,1031
8th Grade Math Score,2015-16,Forsyth,white,1634,57.8,944,690
8th Grade Math Score,2015-16,Guilford,ALL,5361,42.2,2262,3099
8th Grade Math Score,2015-16,Guilford,black,2178,24.7,538,1640
8th Grade Math Score,2015-16,Guilford,eds,2556,25.6,654,1902
8th Grade Math Score,2015-16,Guilford,female,2627,44.8,1177,1450
8th Grade Math Score,2015-16,Guilford,hispanic,711,33.6,239,472
8th Grade Math Score,2015-16,Guilford,male,2734,39.8,1088,1646
8th Grade Math Score,2015-16,Guilford,not_eds,2805,57.3,1607,1198
8th Grade Math Score,2015-16,Guilford,white,1879,63.6,1195,684
8th Grade Math Score,2016-17,Durham,ALL,2305,33.3,768,1537
8th Grade Math Score,2016-17,Durham,black,1114,22.1,246,868
8th Grade Math Score,2016-17,Durham,eds,1420,17.7,251,1169
8th Grade Math Score,2016-17,Durham,female,1202,34.9,419,783
8th Grade Math Score,2016-17,Durham,hispanic,626,22.8,143,483
8th Grade Math Score,2016-17,Durham,male,1103,31.6,349,754
8th Grade Math Score,2016-17,Durham,not_eds,885,58.3,516,369
8th Grade Math Score,2016-17,Durham,white,417,70.5,294,123
8th Grade Math Score,2016-17,Forsyth,ALL,4172,40,1669,2503
8th Grade Math Score,2016-17,Forsyth,black,1196,19.3,231,965
8th Grade Math Score,2016-17,Forsyth,eds,2030,21.2,430,1600
8th Grade Math Score,2016-17,Forsyth,female,2067,41.3,854,1213
8th Grade Math Score,2016-17,Forsyth,hispanic,1085,24.7,268,817
8th Grade Math Score,2016-17,Forsyth,male,2105,38.7,815,1290
8th Grade Math Score,2016-17,Forsyth,not_eds,2142,57.7,1236,906
8th Grade Math Score,2016-17,Forsyth,white,1601,63.7,1020,581
8th Grade Math Score,2016-17,Guilford,ALL,5429,41.7,2264,3165
8th Grade Math Score,2016-17,Guilford,black,2172,24.7,536,1636
8th Grade Math Score,2016-17,Guilford,eds,2589,23.9,619,1970
8th Grade Math Score,2016-17,Guilford,female,2618,43.5,1139,1479
8th Grade Math Score,2016-17,Guilford,hispanic,764,33,252,512
8th Grade Math Score,2016-17,Guilford,male,2811,40,1124,1687
8th Grade Math Score,2016-17,Guilford,not_eds,2840,57.9,1644,1196
8th Grade Math Score,2016-17,Guilford,white,1878,62.5,1174,704
8th Grade Math Score,2017-18,Durham,ALL,2102,36.3,763,1339
8th Grade Math Score,2017-18,Durham,black,981,26.4,259,722
8th Grade Math Score,2017-18,Durham,eds,1289,21.8,281,1008
8th Grade Math Score,2017-18,Durham,female,1023,38.3,392,631
8th Grade Math Score,2017-18,Durham,hispanic,634,26.7,169,465
8th Grade Math Score,2017-18,Durham,male,1079,34.3,370,709
8th Grade Math Score,2017-18,Durham,not_eds,813,59.2,481,332
8th Grade Math Score,2017-18,Durham,white,349,75.4,263,86
8th Grade Math Score,2017-18,Forsyth,ALL,3803,41.7,1586,2217
8th Grade Math Score,2017-18,Forsyth,black,1041,22.4,233,808
8th Grade Math Score,2017-18,Forsyth,eds,1727,22.6,390,1337
8th Grade Math Score,2017-18,Forsyth,female,1844,42.8,789,1055
8th Grade Math Score,2017-18,Forsyth,hispanic,1028,26.9,277,751
8th Grade Math Score,2017-18,Forsyth,male,1959,40.7,797,1162
8th Grade Math Score,2017-18,Forsyth,not_eds,2076,57.6,1196,880
8th Grade Math Score,2017-18,Forsyth,white,1450,64.3,932,518
8th Grade Math Score,2017-18,Guilford,ALL,5038,44.6,2247,2791
8th Grade Math Score,2017-18,Guilford,black,1980,26,515,1465
8th Grade Math Score,2017-18,Guilford,eds,2285,27.2,622,1663
8th Grade Math Score,2017-18,Guilford,female,2458,47.2,1160,1298
8th Grade Math Score,2017-18,Guilford,hispanic,781,36.4,284,497
8th Grade Math Score,2017-18,Guilford,male,2580,42.1,1086,1494
8th Grade Math Score,2017-18,Guilford,not_eds,2753,59,1624,1129
8th Grade Math Score,2017-18,Guilford,white,1697,66.4,1127,570
