geo_description,label,year,description,estimate,se,moe,cv,type,subtype
"Forsyth County, NC",HD01_VD04,2007,Q3,68700,1331,2609,1.94,Comparison Community,Total
"Guilford County, NC",HD01_VD04,2007,Q3,69039,1686,3305,2.44,Comparison Community,Total
United States,HD01_VD05,2007,Q4,117127,117,229,0.1,Comparison Community,Total
North Carolina,HD01_VD05,2007,Q4,102606,401,786,0.39,Comparison Community,Total
"Durham County, NC",HD01_VD05,2007,Q4,110469,2409,4722,2.18,Comparison Community,Total
"Forsyth County, NC",HD01_VD05,2007,Q4,111069,1815,3557,1.63,Comparison Community,Total
"Guilford County, NC",HD01_VD05,2007,Q4,109216,1219,2389,1.12,Comparison Community,Total
United States,HD01_VD06,2007,Q5,214147,191,374,0.09,Comparison Community,Total
North Carolina,HD01_VD06,2007,Q5,189262,1175,2303,0.62,Comparison Community,Total
"Durham County, NC",HD01_VD06,2007,Q5,196969,11238,22026,5.71,Comparison Community,Total
"Forsyth County, NC",HD01_VD06,2007,Q5,216622,1981,3883,0.91,Comparison Community,Total
"Guilford County, NC",HD01_VD06,2007,Q5,209499,4796,9400,2.29,Comparison Community,Total
United States,HD01_VD02,2008,Q1,24791,42,82,0.17,Comparison Community,Total
North Carolina,HD01_VD02,2008,Q1,22779,145,284,0.64,Comparison Community,Total
"Durham County, NC",HD01_VD02,2008,Q1,27317,1174,2301,4.3,Comparison Community,Total
"Forsyth County, NC",HD01_VD02,2008,Q1,24078,609,1194,2.53,Comparison Community,Total
"Guilford County, NC",HD01_VD02,2008,Q1,23339,337,661,1.44,Comparison Community,Total
United States,HD01_VD03,2008,Q2,46830,26,51,0.06,Comparison Community,Total
North Carolina,HD01_VD03,2008,Q2,41973,180,353,0.43,Comparison Community,Total
"Durham County, NC",HD01_VD03,2008,Q2,46677,1543,3024,3.31,Comparison Community,Total
"Forsyth County, NC",HD01_VD03,2008,Q2,42472,910,1784,2.14,Comparison Community,Total
"Guilford County, NC",HD01_VD03,2008,Q2,43620,811,1590,1.86,Comparison Community,Total
United States,HD01_VD04,2008,Q3,74000,32,63,0.04,Comparison Community,Total
North Carolina,HD01_VD04,2008,Q3,65427,336,659,0.51,Comparison Community,Total
"Durham County, NC",HD01_VD04,2008,Q3,72428,1827,3581,2.52,Comparison Community,Total
"Forsyth County, NC",HD01_VD04,2008,Q3,66912,1405,2754,2.1,Comparison Community,Total
"Guilford County, NC",HD01_VD04,2008,Q3,66732,1149,2252,1.72,Comparison Community,Total
United States,HD01_VD05,2008,Q4,116282,28,55,0.02,Comparison Community,Total
North Carolina,HD01_VD05,2008,Q4,102503,337,661,0.33,Comparison Community,Total
"Durham County, NC",HD01_VD05,2008,Q4,118257,1978,3877,1.67,Comparison Community,Total
"Forsyth County, NC",HD01_VD05,2008,Q4,106305,2164,4241,2.04,Comparison Community,Total
"Guilford County, NC",HD01_VD05,2008,Q4,103733,1733,3397,1.67,Comparison Community,Total
United States,HD01_VD06,2008,Q5,213287,303,594,0.14,Comparison Community,Total
North Carolina,HD01_VD06,2008,Q5,186468,1044,2046,0.56,Comparison Community,Total
"Durham County, NC",HD01_VD06,2008,Q5,200355,6789,13306,3.39,Comparison Community,Total
"Forsyth County, NC",HD01_VD06,2008,Q5,190393,7619,14933,4,Comparison Community,Total
"Guilford County, NC",HD01_VD06,2008,Q5,195942,5370,10525,2.74,Comparison Community,Total
United States,HD01_VD02,2009,Q1,23794,40,78,0.17,Comparison Community,Total
North Carolina,HD01_VD02,2009,Q1,21060,185,363,0.88,Comparison Community,Total
"Durham County, NC",HD01_VD02,2009,Q1,22763,520,1019,2.28,Comparison Community,Total
"Forsyth County, NC",HD01_VD02,2009,Q1,21789,444,870,2.04,Comparison Community,Total
"Guilford County, NC",HD01_VD02,2009,Q1,21519,1007,1974,4.68,Comparison Community,Total
United States,HD01_VD03,2009,Q2,45535,1,2,0,Comparison Community,Total
North Carolina,HD01_VD03,2009,Q2,39471,237,465,0.6,Comparison Community,Total
"Durham County, NC",HD01_VD03,2009,Q2,43469,1301,2550,2.99,Comparison Community,Total
"Forsyth County, NC",HD01_VD03,2009,Q2,40973,1088,2132,2.66,Comparison Community,Total
"Guilford County, NC",HD01_VD03,2009,Q2,39835,805,1578,2.02,Comparison Community,Total
United States,HD01_VD04,2009,Q3,71553,85,167,0.12,Comparison Community,Total
North Carolina,HD01_VD04,2009,Q3,62612,157,308,0.25,Comparison Community,Total
"Durham County, NC",HD01_VD04,2009,Q3,68837,1304,2556,1.89,Comparison Community,Total
