geography,level,year,palma,se
200,puma,2013,2.5299409729341904,0.3011421415125092
300,puma,2013,1.7570936613658839,0.12561065922579256
400,puma,2013,1.820718417164198,0.1765093255289122
500,puma,2013,2.8123791125001034,0.3621256277201942
600,puma,2013,2.6993474120248386,0.246720915024902
700,puma,2013,2.295380588550196,0.3086658194720128
800,puma,2013,2.8879241404585634,0.41510195789668086
900,puma,2013,2.3014057563232706,0.27213576061163874
1000,puma,2013,2.4251895293135783,0.3007414666503214
1100,puma,2013,1.81384780246536,0.1789387725113339
1201,puma,2013,4.404327200402939,0.5084175447971893
1202,puma,2013,2.5804640291349186,0.33791910117161744
1203,puma,2013,1.7294492803741859,0.20036543482953056
1204,puma,2013,2.071977977874153,0.18625097770951693
1205,puma,2013,1.4304526689459551,0.1477059074824323
1206,puma,2013,1.9062335775558645,0.18338366350040625
1207,puma,2013,2.036855919480442,0.20127498140565198
1208,puma,2013,1.7911756445094897,0.1634696207746694
1301,puma,2013,2.9052791663526354,0.2941428466300004
1302,puma,2013,2.80613316700743,0.2665305102157349
1400,puma,2013,3.275303299813846,0.3528877127275238
1500,puma,2013,2.3417840788492246,0.261941899774738
1600,puma,2013,2.043453040139962,0.19470099160169177
1701,puma,2013,3.5093083421823623,0.42159552015343377
1702,puma,2013,2.7580907275037765,0.39587662264888507
1703,puma,2013,1.889092472539039,0.1745045689892837
1704,puma,2013,2.723325052941779,0.2627893261484669
1801,puma,2013,4.460828387545922,0.6149939023614256
1802,puma,2013,2.429962695785529,0.1923090906187707
1803,puma,2013,2.0738234405972467,0.20699405422039288
1900,puma,2013,1.9812770713783059,0.18987877014763466
2000,puma,2013,1.979074796781442,0.21154621144528382
2100,puma,2013,2.066872220067162,0.22735515103376924
2201,puma,2013,2.8981008691059937,0.3452162169361897
2202,puma,2013,2.0374001367750916,0.1715449703079252
2300,puma,2013,2.3383096591618155,0.2606576498716304
2400,puma,2013,3.0450824270189125,0.45249408110061273
2500,puma,2013,2.1808721398808806,0.1948307292124769
2600,puma,2013,2.0423143133972705,0.17314072152019408
2700,puma,2013,1.8726868533116938,0.15211038061104568
2800,puma,2013,2.242377626416152,0.24591203670784792
2900,puma,2013,2.5681054458682624,0.24358783588692046
3001,puma,2013,2.1410810968401104,0.25615199790205373
3002,puma,2013,2.45782522609317,0.2213168422586558
3101,puma,2013,4.511193390063249,0.589306445094126
3102,puma,2013,1.6081345022470388,0.16029992861919745
3103,puma,2013,2.2279612154552755,0.3119192127148182
3104,puma,2013,2.929288549983061,0.32261051811067415
3105,puma,2013,3.616277592922072,0.3926382236794901
3106,puma,2013,1.951178343577706,0.16644000123253117
3107,puma,2013,1.6317843589192793,0.12578416267343456
3108,puma,2013,2.417521013990673,0.26612272489678046
3200,puma,2013,1.904544927539844,0.181351717764631
3300,puma,2013,1.7666627484742037,0.22425064105033893
3400,puma,2013,2.144094014044912,0.2002480511286168
3500,puma,2013,2.424347804152867,0.17974457496247867
3600,puma,2013,2.0406086803107093,0.21887300091561757
3700,puma,2013,2.552662459408,0.18979946615861795
3800,puma,2013,2.19750825935792,0.18589791268430245
3900,puma,2013,2.638850727576605,0.3654008696618457
4000,puma,2013,1.7850848324279227,0.18650862874558544
4100,puma,2013,1.9824425899559062,0.2582826658829186
4200,puma,2013,3.173671106719035,0.29678994533367675
4300,puma,2013,2.0607299851563408,0.27314682791959705
4400,puma,2013,2.2255404305489814,0.17319139528965607
4500,puma,2013,1.734764292451112,0.15830492494282164
4600,puma,2013,2.0615559031536246,0.2200971083639876
4700,puma,2013,2.509914023862666,0.1985503871098135
4800,puma,2013,2.397892866877841,0.2591306846754828
4900,puma,2013,2.66885690119345,0.39825172623070704
5001,puma,2013,2.597560648595741,0.246015831973629
5002,puma,2013,2.1256335136048357,0.3462496553797569
5003,puma,2013,1.8787758418234681,0.18343764950204114
5100,puma,2013,2.5165940946678966,0.25766488711751673
5200,puma,2013,2.9497368446863566,0.5052967993489724
5300,puma,2013,1.889481775999758,0.17339870198965937
5400,puma,2013,2.024442556334223,0.23449989395595497
100,puma,2014,2.511985026270184,0.22173973754832485
200,puma,2014,2.3339095513666317,0.21210929177306626
300,puma,2014,1.5908197909214796,0.11241510966849055
400,puma,2014,1.9458946000403679,0.24894250358815662
500,puma,2014,1.9128393760476257,0.2034043483704027
600,puma,2014,2.2275321731593833,0.20774435799679897
700,puma,2014,2.261510674955293,0.19054758437807476
800,puma,2014,2.239559610255084,0.23050887395747108
900,puma,2014,2.057912075262246,0.19867560724958416
1000,puma,2014,2.2449715383548963,0.3071599775454322
1100,puma,2014,2.04203413715014,0.18173177451277991
1201,puma,2014,3.680114766917165,0.36158921065131694
1202,puma,2014,2.2349928251376867,0.22618455739203672
1203,puma,2014,2.2677109774979183,0.30131053470086766
1204,puma,2014,1.8386930890589008,0.2240439526528827
1205,puma,2014,1.9978185827345485,0.20171872199981358
1206,puma,2014,1.8328981330443737,0.16321368243629433
1207,puma,2014,2.318178642281855,0.21850587067692495
1301,puma,2014,2.3564752276662224,0.20236777177129195
1302,puma,2014,2.5815607829041363,0.37017566602339136
1400,puma,2014,4.101438102031232,0.4254607609089019
1500,puma,2014,3.0425758501543574,0.34701403226131017
1600,puma,2014,2.413486738801496,0.2129999589258973
1701,puma,2014,2.855577240271399,0.20732919989966025
1702,puma,2014,2.276371507871346,0.273630757273368
1703,puma,2014,1.8017536314502662,0.1467754545999529
1704,puma,2014,2.1169689234449387,0.1931036044289783
1801,puma,2014,3.605974850378556,0.3747641235150043
1802,puma,2014,2.525128478409518,0.29265345866434844
1803,puma,2014,1.8465392580914906,0.14529196632732963
1900,puma,2014,2.378582421821635,0.3961785271776677
2000,puma,2014,2.3035402062015295,0.35944169858461306
2100,puma,2014,2.172929838881615,0.23826307657751486
2201,puma,2014,2.532441015929144,0.2484892786048994
2202,puma,2014,2.3084426726103784,0.24266361674124043
2300,puma,2014,2.1746019595544825,0.20416892421583116
2400,puma,2014,2.979778058496747,0.4289307395763119
2500,puma,2014,1.8921525015342768,0.16586114538138186
2600,puma,2014,1.9469299932828297,0.1739077477741742
2700,puma,2014,2.393072471421882,0.22532207167213036
2800,puma,2014,2.2463867573173726,0.23671072922079703
2900,puma,2014,2.015916977012493,0.1716974423714913
3001,puma,2014,1.790538544447025,0.12686551742937419
3002,puma,2014,2.2403815273278553,0.23349430092147716
3101,puma,2014,4.308649110682659,0.5475974060934444
3102,puma,2014,2.1664308049520504,0.21532368336665383
3103,puma,2014,1.9991404710954264,0.2306236929609694
3104,puma,2014,2.448434429611585,0.19630774687726604
3105,puma,2014,3.05039407219995,0.3122262367112141
3106,puma,2014,2.1849081444584626,0.2276395448992598
3107,puma,2014,1.77215844359291,0.16989502123515032
3108,puma,2014,2.135108871803961,0.26491124056767007
